                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1558,                0.86714,                 1.3406,                0.59652,                0.51477,                  0.568,                 0.3164,                 1.7996,                 1.8681,                 2.0001,               0.006733,               0.006733,               0.006733
                     35,                 1.1165,                0.80257,                 1.2943,                 0.6536,                0.53276,                0.58004,                 0.3168,                 1.7714,                 1.7717,                 2.0382,               0.006634,               0.006634,               0.006634
                     36,                 1.1297,                0.82041,                 1.3007,                0.61569,                0.58332,                0.59732,                0.34396,                 1.6987,                 1.6282,                 1.9313,               0.006535,               0.006535,               0.006535
                     37,                 1.0968,                0.77878,                 1.2781,                0.58357,                0.58198,                0.59622,                 0.3342,                 1.7555,                 1.7092,                 2.0081,               0.006436,               0.006436,               0.006436
                     38,                 1.0854,                0.79159,                 1.2875,                0.61436,                0.57349,                0.58853,                0.31553,                 1.8004,                 1.6785,                 2.0332,               0.006337,               0.006337,               0.006337
                     39,                 1.0799,                0.76648,                 1.2877,                0.66712,                0.57388,                0.63245,                0.33775,                 1.7563,                 1.6093,                  1.994,               0.006238,               0.006238,               0.006238
                     40,                 1.0719,                0.74695,                 1.2646,                0.60231,                 0.5878,                0.60654,                0.31116,                 1.8099,                 1.6658,                 2.0106,               0.006139,               0.006139,               0.006139
                     41,                 1.0498,                0.73154,                 1.2472,                0.57186,                0.57108,                 0.5803,                0.30596,                 1.7849,                 1.6902,                 2.0311,                0.00604,                0.00604,                0.00604
                     42,                 1.0423,                0.74333,                 1.2572,                 0.5265,                0.52376,                0.55923,                0.30898,                 1.7889,                 1.7416,                 2.0029,               0.005941,               0.005941,               0.005941
                     43,                 1.0325,                0.71367,                 1.2232,                 0.5755,                  0.561,                0.56067,                0.29975,                 1.8247,                 1.7993,                 2.0216,               0.005842,               0.005842,               0.005842
                     44,                 1.0376,                0.72075,                 1.2474,                0.54254,                0.60359,                0.57429,                0.32338,                 1.7659,                 1.7402,                 1.9802,               0.005743,               0.005743,               0.005743
                     45,                  1.003,                 0.6799,                 1.2223,                  0.717,                0.57595,                0.61227,                0.32952,                 1.7741,                 1.6998,                 1.9686,               0.005644,               0.005644,               0.005644
                     46,                 1.0408,                0.72325,                 1.2474,                 0.6821,                0.63733,                0.65212,                0.34529,                 1.8079,                 1.6364,                 2.0486,               0.005545,               0.005545,               0.005545
                     47,                 1.0217,                0.71312,                 1.2315,                0.58604,                0.62048,                 0.6155,                0.32762,                 1.7819,                 1.6442,                 1.9959,               0.005446,               0.005446,               0.005446
                     48,                 0.9961,                0.68492,                 1.2143,                0.73749,                0.55359,                0.61487,                0.32978,                 1.8246,                 1.6526,                 2.0173,               0.005347,               0.005347,               0.005347
                     49,                0.98847,                0.67339,                 1.2139,                 0.6553,                0.58881,                0.60991,                0.33664,                 1.7943,                  1.724,                 1.9907,               0.005248,               0.005248,               0.005248
                     50,                0.97828,                0.67304,                 1.2117,                0.67693,                0.51384,                0.58759,                0.31116,                 1.8111,                 1.8255,                 2.0234,               0.005149,               0.005149,               0.005149
                     51,                0.96049,                0.66236,                 1.1924,                0.71387,                0.55226,                0.61307,                0.33551,                 1.8452,                 1.7268,                 2.0615,                0.00505,                0.00505,                0.00505
                     52,                0.94828,                0.65657,                 1.1801,                0.60583,                0.58565,                0.62295,                0.33115,                 1.8133,                 1.6519,                 2.0044,               0.004951,               0.004951,               0.004951
                     53,                0.98843,                 0.6627,                 1.1889,                0.60271,                0.58615,                0.60336,                0.32686,                 1.8043,                 1.5827,                 2.0186,               0.004852,               0.004852,               0.004852
                     54,                0.96371,                0.64993,                 1.1973,                 0.6929,                0.53261,                 0.6044,                0.33503,                 1.7657,                 1.6585,                 1.9994,               0.004753,               0.004753,               0.004753
                     55,                0.95472,                0.64325,                 1.1765,                0.61207,                0.58741,                0.62854,                0.34109,                   1.76,                 1.5639,                 2.0165,               0.004654,               0.004654,               0.004654
                     56,                0.93091,                0.64341,                  1.187,                 0.7186,                0.54054,                0.59806,                0.31606,                 1.7491,                  1.605,                 1.9975,               0.004555,               0.004555,               0.004555
                     57,                0.94573,                0.64582,                 1.1762,                0.67569,                 0.5641,                0.60405,                0.31528,                  1.733,                 1.6354,                 1.9947,               0.004456,               0.004456,               0.004456
                     58,                0.92699,                  0.638,                 1.1829,                0.60743,                0.59208,                0.61832,                0.32166,                 1.7609,                 1.6671,                 2.0007,               0.004357,               0.004357,               0.004357
                     59,                0.90855,                 0.6203,                 1.1759,                 0.6415,                0.61928,                0.62197,                0.33972,                 1.7268,                 1.5812,                 1.9984,               0.004258,               0.004258,               0.004258
